,atlas,classifier,dataset,iter_shuffle_split,measure,n_regions,scores,dimensionality
324,ho_cort_symm_split,svc_l1,ADNI,12,correlation,NA,0.48333333,96
325,ho_cort_symm_split,svc_l2,ADNI,12,correlation,NA,0.5875,96
326,ho_cort_symm_split,ridge,ADNI,12,correlation,NA,0.58333333,96
327,ho_cort_symm_split,svc_l1,ADNI,12,partial correlation,NA,0.34166667,96
328,ho_cort_symm_split,svc_l2,ADNI,12,partial correlation,NA,0.76666667,96
329,ho_cort_symm_split,ridge,ADNI,12,partial correlation,NA,0.7625,96
330,ho_cort_symm_split,svc_l1,ADNI,12,tangent,NA,0.54166667,96
331,ho_cort_symm_split,svc_l2,ADNI,12,tangent,NA,0.64583333,96
332,ho_cort_symm_split,ridge,ADNI,12,tangent,NA,0.64583333,96
333,aal_spm12,svc_l1,ADNI,12,correlation,NA,0.60416667,117
334,aal_spm12,svc_l2,ADNI,12,correlation,NA,0.57916667,117
335,aal_spm12,ridge,ADNI,12,correlation,NA,0.58333333,117
336,aal_spm12,svc_l1,ADNI,12,partial correlation,NA,0.4375,117
337,aal_spm12,svc_l2,ADNI,12,partial correlation,NA,0.42083333,117
338,aal_spm12,ridge,ADNI,12,partial correlation,NA,0.42083333,117
339,aal_spm12,svc_l1,ADNI,12,tangent,NA,0.54166667,117
340,aal_spm12,svc_l2,ADNI,12,tangent,NA,0.54166667,117
341,aal_spm12,ridge,ADNI,12,tangent,NA,0.55416667,117
342,basc_scale122,svc_l1,ADNI,12,correlation,NA,0.55,122
343,basc_scale122,svc_l2,ADNI,12,correlation,NA,0.625,122
344,basc_scale122,ridge,ADNI,12,correlation,NA,0.6125,122
345,basc_scale122,svc_l1,ADNI,12,partial correlation,NA,0.6,122
346,basc_scale122,svc_l2,ADNI,12,partial correlation,NA,0.50833333,122
347,basc_scale122,ridge,ADNI,12,partial correlation,NA,0.50833333,122
348,basc_scale122,svc_l1,ADNI,12,tangent,NA,0.65833333,122
349,basc_scale122,svc_l2,ADNI,12,tangent,NA,0.63333333,122
350,basc_scale122,ridge,ADNI,12,tangent,NA,0.6375,122
351,ho_cort_symm_split,svc_l1,ADNI,13,correlation,NA,0.67916667,96
352,ho_cort_symm_split,svc_l2,ADNI,13,correlation,NA,0.61666667,96
353,ho_cort_symm_split,ridge,ADNI,13,correlation,NA,0.60833333,96
354,ho_cort_symm_split,svc_l1,ADNI,13,partial correlation,NA,0.30416667,96
355,ho_cort_symm_split,svc_l2,ADNI,13,partial correlation,NA,0.4375,96
356,ho_cort_symm_split,ridge,ADNI,13,partial correlation,NA,0.4375,96
357,ho_cort_symm_split,svc_l1,ADNI,13,tangent,NA,0.64583333,96
358,ho_cort_symm_split,svc_l2,ADNI,13,tangent,NA,0.69583333,96
359,ho_cort_symm_split,ridge,ADNI,13,tangent,NA,0.68333333,96
360,aal_spm12,svc_l1,ADNI,13,correlation,NA,0.68333333,117
361,aal_spm12,svc_l2,ADNI,13,correlation,NA,0.65,117
362,aal_spm12,ridge,ADNI,13,correlation,NA,0.62916667,117
