,atlas,classifier,dataset,iter_shuffle_split,measure,n_regions,scores,dimensionality
268,basc_scale122,svc_l2,COBRE,9,tangent,NA,0.8625,122
269,basc_scale122,ridge,COBRE,9,tangent,NA,0.865625,122
270,ho_cort_symm_split,svc_l1,COBRE,10,correlation,NA,0.60625,96
271,ho_cort_symm_split,svc_l2,COBRE,10,correlation,NA,0.665625,96
272,ho_cort_symm_split,ridge,COBRE,10,correlation,NA,0.640625,96
273,ho_cort_symm_split,svc_l1,COBRE,10,partial correlation,NA,0.53125,96
274,ho_cort_symm_split,svc_l2,COBRE,10,partial correlation,NA,0.53125,96
275,ho_cort_symm_split,ridge,COBRE,10,partial correlation,NA,0.5375,96
276,ho_cort_symm_split,svc_l1,COBRE,10,tangent,NA,0.540625,96
277,ho_cort_symm_split,svc_l2,COBRE,10,tangent,NA,0.634375,96
278,ho_cort_symm_split,ridge,COBRE,10,tangent,NA,0.634375,96
279,aal_spm12,svc_l1,COBRE,10,correlation,NA,0.696875,117
280,aal_spm12,svc_l2,COBRE,10,correlation,NA,0.690625,117
281,aal_spm12,ridge,COBRE,10,correlation,NA,0.7,117
282,aal_spm12,svc_l1,COBRE,10,partial correlation,NA,0.484375,117
283,aal_spm12,svc_l2,COBRE,10,partial correlation,NA,0.5875,117
284,aal_spm12,ridge,COBRE,10,partial correlation,NA,0.584375,117
285,aal_spm12,svc_l1,COBRE,10,tangent,NA,0.5375,117
286,aal_spm12,svc_l2,COBRE,10,tangent,NA,0.675,117
287,aal_spm12,ridge,COBRE,10,tangent,NA,0.671875,117
288,basc_scale122,svc_l1,COBRE,10,correlation,NA,0.71875,122
289,basc_scale122,svc_l2,COBRE,10,correlation,NA,0.68125,122
290,basc_scale122,ridge,COBRE,10,correlation,NA,0.684375,122
291,basc_scale122,svc_l1,COBRE,10,partial correlation,NA,0.653125,122
292,basc_scale122,svc_l2,COBRE,10,partial correlation,NA,0.7375,122
293,basc_scale122,ridge,COBRE,10,partial correlation,NA,0.7375,122
294,basc_scale122,svc_l1,COBRE,10,tangent,NA,0.671875,122
295,basc_scale122,svc_l2,COBRE,10,tangent,NA,0.78125,122
296,basc_scale122,ridge,COBRE,10,tangent,NA,0.778125,122
297,ho_cort_symm_split,svc_l1,COBRE,11,correlation,NA,0.85,96
298,ho_cort_symm_split,svc_l2,COBRE,11,correlation,NA,0.834375,96
299,ho_cort_symm_split,ridge,COBRE,11,correlation,NA,0.8375,96
300,ho_cort_symm_split,svc_l1,COBRE,11,partial correlation,NA,0.521875,96
301,ho_cort_symm_split,svc_l2,COBRE,11,partial correlation,NA,0.659375,96
302,ho_cort_symm_split,ridge,COBRE,11,partial correlation,NA,0.659375,96
303,ho_cort_symm_split,svc_l1,COBRE,11,tangent,NA,0.675,96
304,ho_cort_symm_split,svc_l2,COBRE,11,tangent,NA,0.8125,96
305,ho_cort_symm_split,ridge,COBRE,11,tangent,NA,0.809375,96
306,aal_spm12,svc_l1,COBRE,11,correlation,NA,0.8125,117
307,aal_spm12,svc_l2,COBRE,11,correlation,NA,0.828125,117
308,aal_spm12,ridge,COBRE,11,correlation,NA,0.828125,117
309,aal_spm12,svc_l1,COBRE,11,partial correlation,NA,0.603125,117
310,aal_spm12,svc_l2,COBRE,11,partial correlation,NA,0.84375,117
311,aal_spm12,ridge,COBRE,11,partial correlation,NA,0.84375,117
312,aal_spm12,svc_l1,COBRE,11,tangent,NA,0.7125,117
313,aal_spm12,svc_l2,COBRE,11,tangent,NA,0.909375,117
314,aal_spm12,ridge,COBRE,11,tangent,NA,0.90625,117
315,basc_scale122,svc_l1,COBRE,11,correlation,NA,0.8125,122
316,basc_scale122,svc_l2,COBRE,11,correlation,NA,0.834375,122
317,basc_scale122,ridge,COBRE,11,correlation,NA,0.828125,122
318,basc_scale122,svc_l1,COBRE,11,partial correlation,NA,0.615625,122
319,basc_scale122,svc_l2,COBRE,11,partial correlation,NA,0.915625,122
320,basc_scale122,ridge,COBRE,11,partial correlation,NA,0.915625,122
321,basc_scale122,svc_l1,COBRE,11,tangent,NA,0.765625,122
322,basc_scale122,svc_l2,COBRE,11,tangent,NA,0.91875,122
323,basc_scale122,ridge,COBRE,11,tangent,NA,0.91875,122
324,ho_cort_symm_split,svc_l1,COBRE,12,correlation,NA,0.69375,96
325,ho_cort_symm_split,svc_l2,COBRE,12,correlation,NA,0.8,96
326,ho_cort_symm_split,ridge,COBRE,12,correlation,NA,0.7875,96
327,ho_cort_symm_split,svc_l1,COBRE,12,partial correlation,NA,0.646875,96
328,ho_cort_symm_split,svc_l2,COBRE,12,partial correlation,NA,0.715625,96
329,ho_cort_symm_split,ridge,COBRE,12,partial correlation,NA,0.709375,96
330,ho_cort_symm_split,svc_l1,COBRE,12,tangent,NA,0.65,96
331,ho_cort_symm_split,svc_l2,COBRE,12,tangent,NA,0.815625,96
332,ho_cort_symm_split,ridge,COBRE,12,tangent,NA,0.809375,96
