,atlas,classifier,dataset,measure,scores
468,aal_spm12,svc_l1,acpi,correlation,0.28125
469,aal_spm12,svc_l2,acpi,correlation,0.3671875
470,aal_spm12,ridge,acpi,correlation,0.35546875
471,aal_spm12,svc_l1,acpi,partial correlation,0.40234375
472,aal_spm12,svc_l2,acpi,partial correlation,0.48828125
473,aal_spm12,ridge,acpi,partial correlation,0.48828125
474,aal_spm12,svc_l1,acpi,tangent,0.41015625
475,aal_spm12,svc_l2,acpi,tangent,0.44140625
476,aal_spm12,ridge,acpi,tangent,0.44140625
477,aal_spm12,svc_l1,acpi,correlation,0.42578125
478,aal_spm12,svc_l2,acpi,correlation,0.45703125
479,aal_spm12,ridge,acpi,correlation,0.48828125
480,aal_spm12,svc_l1,acpi,partial correlation,0.5859375
481,aal_spm12,svc_l2,acpi,partial correlation,0.640625
482,aal_spm12,ridge,acpi,partial correlation,0.640625
