,atlas,classifier,dataset,dimensionality,iter_shuffle_split,measure,n_regions,scores
217,ho_cort_symm_split,svc_l2,ABIDE,96,8,correlation,,[ 0.63622397]
218,ho_cort_symm_split,ridge,ABIDE,96,8,correlation,,[ 0.61309321]
219,ho_cort_symm_split,svc_l1,ABIDE,96,8,partial correlation,,[ 0.54745647]
220,ho_cort_symm_split,svc_l2,ABIDE,96,8,partial correlation,,[ 0.55223626]
221,ho_cort_symm_split,ridge,ABIDE,96,8,partial correlation,,[ 0.55351656]
222,ho_cort_symm_split,svc_l1,ABIDE,96,8,tangent,,[ 0.61923865]
223,ho_cort_symm_split,svc_l2,ABIDE,96,8,tangent,,[ 0.66993855]
224,ho_cort_symm_split,ridge,ABIDE,96,8,tangent,,[ 0.66934107]
225,aal_spm12,svc_l1,ABIDE,117,8,correlation,,[ 0.59124274]
226,aal_spm12,svc_l2,ABIDE,117,8,correlation,,[ 0.63050529]
227,aal_spm12,ridge,ABIDE,117,8,correlation,,[ 0.62879822]
228,aal_spm12,svc_l1,ABIDE,117,8,partial correlation,,[ 0.59542506]
229,aal_spm12,svc_l2,ABIDE,117,8,partial correlation,,[ 0.62581086]
230,aal_spm12,ridge,ABIDE,117,8,partial correlation,,[ 0.62649368]
231,aal_spm12,svc_l1,ABIDE,117,8,tangent,,[ 0.60831342]
232,aal_spm12,svc_l2,ABIDE,117,8,tangent,,[ 0.70032434]
233,aal_spm12,ridge,ABIDE,117,8,tangent,,[ 0.7005804]
234,basc_scale122,svc_l1,ABIDE,122,8,correlation,,[ 0.67335268]
235,basc_scale122,svc_l2,ABIDE,122,8,correlation,,[ 0.71534653]
236,basc_scale122,ridge,ABIDE,122,8,correlation,,[ 0.70459201]
237,basc_scale122,svc_l1,ABIDE,122,8,partial correlation,,[ 0.56623421]
238,basc_scale122,svc_l2,ABIDE,122,8,partial correlation,,[ 0.65815978]
239,basc_scale122,ridge,ABIDE,122,8,partial correlation,,[ 0.65944008]
240,basc_scale122,svc_l1,ABIDE,122,8,tangent,,[ 0.65781837]
241,basc_scale122,svc_l2,ABIDE,122,8,tangent,,[ 0.73420963]
242,basc_scale122,ridge,ABIDE,122,8,tangent,,[ 0.73420963]
243,ho_cort_symm_split,svc_l1,ABIDE,96,9,correlation,,[ 0.59508365]
244,ho_cort_symm_split,svc_l2,ABIDE,96,9,correlation,,[ 0.63494367]
245,ho_cort_symm_split,ridge,ABIDE,96,9,correlation,,[ 0.60728918]
246,ho_cort_symm_split,svc_l1,ABIDE,96,9,partial correlation,,[ 0.58484124]
247,ho_cort_symm_split,svc_l2,ABIDE,96,9,partial correlation,,[ 0.57135541]
248,ho_cort_symm_split,ridge,ABIDE,96,9,partial correlation,,[ 0.57178218]
249,ho_cort_symm_split,svc_l1,ABIDE,96,9,tangent,,[ 0.56290543]
250,ho_cort_symm_split,svc_l2,ABIDE,96,9,tangent,,[ 0.65389211]
251,ho_cort_symm_split,ridge,ABIDE,96,9,tangent,,[ 0.64877091]
252,aal_spm12,svc_l1,ABIDE,117,9,correlation,,[ 0.61795835]
253,aal_spm12,svc_l2,ABIDE,117,9,correlation,,[ 0.62913964]
254,aal_spm12,ridge,ABIDE,117,9,correlation,,[ 0.61906794]
255,aal_spm12,svc_l1,ABIDE,117,9,partial correlation,,[ 0.54267668]
256,aal_spm12,svc_l2,ABIDE,117,9,partial correlation,,[ 0.58449983]
257,aal_spm12,ridge,ABIDE,117,9,partial correlation,,[ 0.58398771]
258,aal_spm12,svc_l1,ABIDE,117,9,tangent,,[ 0.59815637]
259,aal_spm12,svc_l2,ABIDE,117,9,tangent,,[ 0.68794811]
260,aal_spm12,ridge,ABIDE,117,9,tangent,,[ 0.68794811]
261,basc_scale122,svc_l1,ABIDE,122,9,correlation,,[ 0.66293957]
262,basc_scale122,svc_l2,ABIDE,122,9,correlation,,[ 0.6967395]
263,basc_scale122,ridge,ABIDE,122,9,correlation,,[ 0.6864971]
264,basc_scale122,svc_l1,ABIDE,122,9,partial correlation,,[ 0.54173779]
265,basc_scale122,svc_l2,ABIDE,122,9,partial correlation,,[ 0.66114715]
266,basc_scale122,ridge,ABIDE,122,9,partial correlation,,[ 0.66396381]
267,basc_scale122,svc_l1,ABIDE,122,9,tangent,,[ 0.62077501]
268,basc_scale122,svc_l2,ABIDE,122,9,tangent,,[ 0.70228747]
269,basc_scale122,ridge,ABIDE,122,9,tangent,,[ 0.70220212]
270,ho_cort_symm_split,svc_l1,ABIDE,96,10,correlation,,[ 0.52748378]
271,ho_cort_symm_split,svc_l2,ABIDE,96,10,correlation,,[ 0.5699044]
272,ho_cort_symm_split,ridge,ABIDE,96,10,correlation,,[ 0.56546603]
273,ho_cort_symm_split,svc_l1,ABIDE,96,10,partial correlation,,[ 0.60361898]
274,ho_cort_symm_split,svc_l2,ABIDE,96,10,partial correlation,,[ 0.57289177]
275,ho_cort_symm_split,ridge,ABIDE,96,10,partial correlation,,[ 0.57434278]
276,ho_cort_symm_split,svc_l1,ABIDE,96,10,tangent,,[ 0.6039604]
277,ho_cort_symm_split,svc_l2,ABIDE,96,10,tangent,,[ 0.63494367]
278,ho_cort_symm_split,ridge,ABIDE,96,10,tangent,,[ 0.63221236]
279,aal_spm12,svc_l1,ABIDE,117,10,correlation,,[ 0.607972]
280,aal_spm12,svc_l2,ABIDE,117,10,correlation,,[ 0.61975077]
281,aal_spm12,ridge,ABIDE,117,10,correlation,,[ 0.61915329]
282,aal_spm12,svc_l1,ABIDE,117,10,partial correlation,,[ 0.59849778]
283,aal_spm12,svc_l2,ABIDE,117,10,partial correlation,,[ 0.64322294]
284,aal_spm12,ridge,ABIDE,117,10,partial correlation,,[ 0.64160123]
285,aal_spm12,svc_l1,ABIDE,117,10,tangent,,[ 0.62785934]
286,aal_spm12,svc_l2,ABIDE,117,10,tangent,,[ 0.68274155]
287,aal_spm12,ridge,ABIDE,117,10,tangent,,[ 0.68120519]
288,basc_scale122,svc_l1,ABIDE,122,10,correlation,,[ 0.55402868]
289,basc_scale122,svc_l2,ABIDE,122,10,correlation,,[ 0.59986343]
290,basc_scale122,ridge,ABIDE,122,10,correlation,,[ 0.59841243]
291,basc_scale122,svc_l1,ABIDE,122,10,partial correlation,,[ 0.56520997]
292,basc_scale122,svc_l2,ABIDE,122,10,partial correlation,,[ 0.61497098]
